category,rate,name,address,url,price_range
"Cafes,Breakfast & Brunch,Sandwiches",4.0 star rating,first watch daytime cafe,,,$
"Women's Clothing,Art Galleries,Accessories",5.0 star rating,fashion central,,,$$
"Web Design,Marketing,Graphic Design",,reverb,,,
Contractors,,younkers home store,,,
"Leather Goods,Luggage",4.0 star rating,luggage logic,,,$$$$
"Specialty Food,Kitchen & Bath",4.5 star rating,the extra ingredient,,,$
"Watches,Watch Repair",4.0 star rating,watchesetc,,,$$$
"Specialty Food,Delis,Cafes",3.5 star rating,a g ferrari foods,,,$
"Jewelry,Watches",4.5 star rating,magic jewelers,,,$$
Banks & Credit Unions,4.5 star rating,citizens union bank,,,
Hair Salons,5.0 star rating,orange salon,,,$$
Performing Arts,4.5 star rating,pets rinn,,,
Dry Cleaning & Laundry,5.0 star rating,prime cleaners,,,
"French,American (New)",4.5 star rating,mr subb,,,$$$$
French,4.0 star rating,yenis dim sum plus,,,$$
"Arts & Crafts,Hardware Stores",4.0 star rating,woodcraft,,,$$
Lounges,4.0 star rating,martini park,,,$$
"Pizza,Italian",4.0 star rating,johns incredible pizza,,,$$
Furniture Stores,4.0 star rating,luxury of leather,,,$$$$
Mattresses,4.5 star rating,model home center,,,$$
Churches,5.0 star rating,canvas,,,
"Women's Clothing,Accessories",4.0 star rating,dd outfitters,,,$$
Pet Stores,,love my puppy,,,
Orthotics,2.5 star rating,the good feet store,,,
"Tex-Mex,Mexican",3.5 star rating,rancho grande,,,$
"Leather Goods,Accessories",4.0 star rating,sak fashion,,,$
Mobile Phones,4.0 star rating,r-cell accessories,,,$$
Eyewear & Opticians,4.5 star rating,elan style,,,$$
,5.0 star rating,eco water,,,
"Hair Salons,Barbers",5.0 star rating,mall barber shop,,,$$$
"Museums,Aquariums",4.0 star rating,lake arrowhead chamber,,,
Hair Salons,5.0 star rating,a hair place,,,$$
"Art Galleries,Arts & Crafts,Home Decor",4.0 star rating,brick house designs,,,$$
"Bakeries,Desserts",4.5 star rating,cookiesmore,,,$
Mexican,2.5 star rating,roadrunner burrito,,,$
"Sushi Bars,Japanese",4.0 star rating,kenzo sushi bistro,,,$$
